City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
310,milkovo,RU,54.7167,158.6167,26.91,86,100,3.89,light snow
311,bambous virieux,MU,-20.3428,57.7575,76.21,94,75,1.14,broken clouds
312,pascagoula,US,30.3658,-88.5561,72.32,80,100,13.96,overcast clouds
313,satipo,PE,-11.2522,-74.6386,76.75,74,79,2.17,broken clouds
314,labuhan,ID,-6.8844,112.2051,78.06,87,62,4.29,light rain
315,tiznit,MA,29.5833,-9.5,53.26,74,35,8.93,scattered clouds
316,roebourne,AU,-20.7833,117.1333,80.82,34,37,12.48,scattered clouds
317,araouane,ML,18.9048,-3.5265,82.35,9,28,6.78,scattered clouds
318,westport,US,41.1415,-73.3579,58.98,32,6,3.0,clear sky
319,batagay-alyta,RU,67.8006,130.4114,20.32,91,100,2.62,overcast clouds
320,bijawar,IN,24.6333,79.5,86.85,16,84,2.13,broken clouds
321,road town,VG,18.4167,-64.6167,78.89,73,40,12.66,scattered clouds
322,cherlak,RU,54.155,74.8055,43.23,90,100,3.06,moderate rain
323,obra,IN,24.4167,82.9833,78.64,43,35,3.67,scattered clouds
324,broken hill,AU,-31.95,141.4333,56.91,88,100,0.0,overcast clouds
325,faya,SA,18.3851,42.4509,66.72,49,50,1.1,scattered clouds
326,hasaki,JP,35.7333,140.8333,57.6,81,89,8.34,overcast clouds
327,dunedin,NZ,-45.8742,170.5036,60.06,94,92,1.86,overcast clouds
328,padang,ID,-0.9492,100.3543,75.72,93,100,5.55,light rain
329,qeshm,IR,26.9581,56.2719,73.29,67,99,3.58,overcast clouds
330,alexandria,EG,31.2156,29.9553,60.76,72,40,6.91,scattered clouds
331,hamada,JP,34.8833,132.0833,60.48,78,100,3.6,overcast clouds
332,ziro,IN,27.6333,93.8333,48.52,93,20,2.46,few clouds
333,soavinandriana,MG,-19.1667,46.7333,57.79,89,6,5.7,clear sky
334,tulun,RU,54.5611,100.5792,33.46,68,100,9.22,overcast clouds
335,nalut,LY,30.3333,10.85,78.37,11,80,23.44,broken clouds
336,ossora,RU,59.2353,163.0719,23.22,81,10,1.28,clear sky
337,constitucion,CL,-35.3333,-72.4167,52.88,75,3,13.96,clear sky
338,buala,SB,-8.145,159.5921,84.36,74,54,8.77,light rain
339,avdon,RU,54.6667,55.7167,38.52,100,100,4.47,overcast clouds
340,cravo norte,CO,6.3017,-70.2041,83.8,64,91,4.38,overcast clouds
341,nanortalik,GL,60.1432,-45.2371,29.91,70,93,4.07,overcast clouds
342,hami,CN,42.8,93.45,56.55,13,78,11.54,broken clouds
343,grenfell,AU,-33.9,148.1667,60.84,64,79,7.76,broken clouds
344,puerto leguizamo,CO,-0.1934,-74.7819,74.1,97,98,1.81,moderate rain
345,itarema,BR,-2.9248,-39.9167,78.06,87,83,9.35,broken clouds
346,thies,SN,14.8342,-17.1061,70.45,88,0,17.27,clear sky
347,codrington,AU,-38.2667,141.9667,57.69,61,80,9.55,broken clouds
348,arman,RU,59.7,150.1667,28.02,78,94,5.95,overcast clouds
349,cockburn town,TC,21.4612,-71.1419,76.96,73,75,9.22,broken clouds
350,ocho rios,JM,18.4025,-77.1048,81.81,83,36,8.59,scattered clouds
351,buraydah,SA,26.326,43.975,79.25,24,90,8.72,overcast clouds
352,tarabuco,BO,-19.1667,-64.9167,53.37,68,2,4.34,clear sky
353,chicama,PE,-7.8447,-79.1469,66.74,70,21,8.19,few clouds
354,loandjili,CG,-4.7561,11.8578,76.69,92,100,3.71,overcast clouds
